join_key,OSMMSTYLE_NAME,MI_STYLE
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rough Grassland,ScrubNatural",roughGrassScatteredNonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees (Scattered),Rough Grassland,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),ScrubNatural",scrubAndScatteredNonconiferousTreesPattern,"Brush (81,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees (Scattered),ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees (Scattered),ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,RockNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rock (Scattered)Natural",nonconiferousTreesAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rock (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rough GrasslandNatural",roughGrassAndNonconiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees,Rough GrasslandNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees,Rough GrasslandNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rough Grassland,ScrubNatural",roughGrassNonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees,Rough Grassland,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees,Rough Grassland,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,ScrubNatural",nonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaNatural EnvironmentOrchardNatural,orchardPattern,"Brush (80,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackOrchardNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicLineBuildingOutlineManmadeObstructing,buildingLine,"Pen (1,2,16711680)"
TopographicLineBuildingOutlineManmadeOverhead,buildingOverheadLine,"Pen (1,3,16711680)"
TopographicPointStructureOverhead ConstructionManmade,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicLineGeneral FeatureOverhead Construction,structureOverheadLine,"Pen (1,8,13408614)"
TopographicLineGeneral FeatureOverhead ConstructionManmade,structureOverheadLine,"Pen (1,8,13408614)"
TopographicAreaStructureOverhead ConstructionManmade,structureFill,"Brush (2,13408614,13408614)"
BoundaryLinePolitical Or AdministrativeParishBoundary,parishLine,"Pen (3,4,16711935)"
BoundaryLinePolitical Or AdministrativeParliamentaryBoundary,parliamentaryLine,"Pen (3,3,16711935)"
TopographicLineNetwork Or Polygon Closing GeometryPolygon Closing LinkClosing,closingLine,"Pen (1,2,16777215)"
TopographicPointGeneral FeaturePositioned BoulderNatural,positionedBoulderSymbol,"Symbol (33,6710886,10) Pen (1,2,6710886)"
TopographicPointGeneral FeaturePositioned Coniferous TreeNatural,positionedConiferousTreeSymbol,"Symbol (33,6710886,10) Pen (1,2,6710886)"
TopographicPointGeneral FeaturePositioned Nonconiferous TreeNatural,positionedNonconiferousTreeSymbol,"Symbol (33,6710886,10) Pen (1,2,6710886)"
TopographicLineRoad Or TrackPublicManmadeEdge / Limit,defaultDashedLine,"Pen (1,4,3355443)"
TopographicLineStructurePylonManmadeEdge / Limit,defaultLine,"Pen (1,2,0)"
TopographicAreaStructurePylonManmade,structureFill,"Brush (2,13408614,13408614)"
TopographicLineLandformRidge Or Rock LineNatural,landformLine,"Pen (1,4,3355443)"
CartographicTextRoad Or TrackRoad Name Or Classification,defaultCartographicText,"Brush (2,0,0)"
"TopographicAreaGeneral Feature,Road Or TrackRoad Or TrackManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaRoad Or Track,StructureRoad Or TrackManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
CartographicSymbolRoad Or TrackRoad Related Flow,roadFlowSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicAreaNatural EnvironmentRockNatural,rocksPattern,"Brush (146,6723942,13434828)"
TopographicAreaNatural EnvironmentRock (Scattered)Natural,scatteredRocksPattern,"Brush (147,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock (Scattered),Rough GrasslandNatural",roughGrassAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock,Rough GrasslandNatural",roughGrassAndRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
TopographicAreaNatural EnvironmentRough GrasslandNatural,roughGrassPattern,"Brush (85,6723942,13434828)"
"TopographicAreaNatural Environment,RailRough GrasslandNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackRough GrasslandNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentRough Grassland,ScrubNatural",roughGrassAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailRough Grassland,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackRough Grassland,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaNatural EnvironmentScreeNatural,screePattern,"Brush (145,6723942,13434828)"
TopographicAreaNatural EnvironmentScrubNatural,scrubPattern,"Brush (87,6723942,13434828)"
"TopographicAreaNatural Environment,RailScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicPointHistoric InterestSite Of Heritage,heritageSiteOfSymbol,"Symbol (49,39423,12) Pen (1,2,0)"
TopographicPointHistoric InterestSite Of HeritageManmade,heritageSiteOfSymbol,"Symbol (49,39423,12) Pen (1,2,0)"
"TopographicAreaGeneral Surface,LandformSlopeManmade",manmadeLandformPattern,"Brush (5,6723942) Pen (1,1,6723942)"
"TopographicAreaHistoric Interest,LandformSlopeManmade",heritageFill,"Brush (2,13408614,13408614)"
"TopographicAreaInland Water,LandformSlopeManmade",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaInland Water,Landform,Road Or TrackSlopeManmade",manmadeLandformPattern,"Brush (5,6723942) Pen (1,1,6723942)"
TopographicAreaLandformSlopeManmade,manmadeLandformPattern,"Brush (5,6723942) Pen (1,1,6723942)"
"TopographicAreaLandform,PathSlopeManmade",pathFillLandform,"Brush (6,6723942) Pen (1,1,6723942)"
"TopographicAreaLandform,RailSlopeManmade",railFillLandform,"Brush (6,6723942) Pen (1,1,6723942)"
"TopographicAreaLandform,Road Or TrackSlopeManmade",roadFillLandform,"Brush (6,6723942) Pen (1,1,6723942)"
"TopographicAreaLandform,Tidal WaterSlopeManmade",tidalWaterFill,"Brush (2,10092543,10092543)"
TopographicPointTerrain And HeightSpot Height,spotHeightSymbol,"Symbol (49,0,10) Pen (1,2,0)"
TopographicLineRailStandard Gauge Track,standardGaugeRailLine,"Pen (1,8,3355443)"
TopographicLineRailStandard Gauge TrackManmade,standardGaugeRailLine,"Pen (1,8,3355443)"
TopographicLineGeneral SurfaceStepManmadeEdge / Limit,defaultLine,"Pen (1,2,0)"
TopographicLineGeneral SurfaceStepManmade,defaultLine,"Pen (1,2,0)"
TopographicAreaGeneral SurfaceStepManmade,stepFill,"Brush (2,16764057,16764057)"
TopographicAreaPathStepManmade,stepFill,"Brush (2,16764057,16764057)"
"TopographicAreaPath,RailStepManmade",stepFill,"Brush (2,16764057,16764057)"
"TopographicAreaPath,StructureStepManmade",pathFill,"Brush (2,16764057,16764057)"
"TopographicAreaPath,StructureStep",pathFill,"Brush (2,16764057,16764057)"
"TopographicAreaGeneral Surface,StructureStepManmade",structureFill,"Brush (2,13408614,13408614)"
TopographicPointHistoric InterestStructure,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
"TopographicPointInland Water,StructureStructureManmade",waterPointSymbol,"Symbol (34,39423,10) Pen (1,2,39423)"
TopographicPointRailStructure,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicPointRoadsideStructureManmade,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicPointStructureStructureManmade,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
CartographicSymbolRailSwitch,railwaySwitchSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicLineLandformTop Of CliffNaturalEdge / Limit,landformTopOfCliffLine,"Pen (1,112,6723942)"
TopographicLineLandformTop Of SlopeManmadeEdge / Limit,landformTopOfSlopeLine,"Pen (1,110,6723942)"
"TopographicAreaRail,Road Or TrackTrackNatural",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaRoad Or TrackTrackNatural,roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicLineRoad Or TrackTraffic CalmingManmadeEdge / Limit,defaultDashedLine,"Pen (1,4,3355443)"
TopographicAreaRoad Or TrackTraffic CalmingManmade,roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicPointStructureTriangulation Point Or PillarManmade,triangulationStationSymbol,"Symbol (42,0,10) Pen (1,2,0)"
TopographicLineGeneral FeatureTunnel EdgeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLineInland WaterTunnel EdgeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLinePathTunnel EdgeManmadeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLineRailTunnel EdgeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLineRoad Or TrackTunnel EdgeManmadeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLineInland WaterTunnel EdgeManmadeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLineRailTunnel EdgeManmadeEdge / Limit,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicLinePathUnmade Path AlignmentEdge / Limit,defaultDashedLine,"Pen (1,4,3355443)"
TopographicAreaStructureUpper Level Of CommunicationManmade,structureFill,"Brush (2,13408614,13408614)"
TopographicPointInland WaterManmade,waterPointSymbol,"Symbol (34,39423,10) Pen (1,2,39423)"
TopographicPointLandformManmade,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicPointLandformNatural,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
"TopographicPointRoad Or Track,StructureManmade",pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicPointRoadside,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicPointStructureManmade,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
"TopographicPointStructure,Tidal WaterManmade",pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicPointTidal Water,waterPointSymbol,"Symbol (34,39423,10) Pen (1,2,39423)"
TopographicLineGeneral FeatureEdge / Limit,defaultDashedLine,"Pen (1,4,3355443)"
TopographicLineGeneral FeatureObstructing,defaultLine,"Pen (1,2,0)"
TopographicLineGeneral FeatureMinor Detail,defaultLine,"Pen (1,2,0)"
"TopographicLineGeneral Feature,General SurfaceObstructing",defaultLine,"Pen (1,2,0)"
"TopographicLineGeneral Feature,Inland WaterObstructing",waterLine,"Pen (1,2,39423)"
"TopographicLineGeneral Feature,PathObstructing",defaultDashedLine,"Pen (1,4,3355443)"
"TopographicLineGeneral Feature,RailEdge / Limit",defaultDashedLine,"Pen (1,4,3355443)"
"TopographicLineGeneral Feature,Road Or TrackEdge / Limit",defaultDashedLine,"Pen (1,4,3355443)"
"TopographicLineGeneral Feature,Road Or TrackObstructing",defaultLine,"Pen (1,2,0)"
TopographicLineGeneral SurfaceNaturalEdge / Limit,defaultDashedLine,"Pen (1,4,3355443)"
"TopographicLineGeneral Surface,Inland WaterEdge / Limit",waterLine,"Pen (1,2,39423)"
"TopographicLineGeneral Surface,Natural EnvironmentNaturalEdge / Limit",defaultDashedLine,"Pen (1,4,3355443)"
TopographicLineHistoric InterestMinor Detail,defaultLine,"Pen (1,2,0)"
TopographicLineInland WaterManmadeMinor Detail,waterLine,"Pen (1,2,39423)"
TopographicLineInland WaterEdge / Limit,waterLine,"Pen (1,2,39423)"
TopographicLineLandformNaturalEdge / Limit,landformLine,"Pen (1,4,3355443)"
TopographicLineLandformManmadeEdge / Limit,landformLine,"Pen (1,4,3355443)"
TopographicLineRailMinor Detail,defaultLine,"Pen (1,2,0)"
TopographicLineRoadsideMinor Detail,defaultLine,"Pen (1,2,0)"
TopographicLineStructureManmadeMinor Detail,defaultLine,"Pen (1,2,0)"
TopographicLineUnclassified,unclassifiedLine,"Pen (1,1,0)"
TopographicAreaBuildingManmade,buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaBuilding,Historic InterestManmade",buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaBuilding,Inland WaterManmade",buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaBuilding,PathManmade",buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaBuilding,RailManmade",buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaBuilding,Road Or TrackManmade",buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaGeneral Feature,General SurfaceManmade",naturalSurfaceFill,"Brush (2,13434828,13434828)"
"TopographicAreaGeneral Feature,Inland WaterNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaGeneral Feature,Road Or TrackManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaGeneral Feature,RoadsideManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaGeneral SurfaceManmade,madeSurfaceFill,"Brush (2,13421721,13421721)"
TopographicAreaGeneral SurfaceUnknown,madeSurfaceFill,"Brush (2,13421721,13421721)"
TopographicAreaGeneral SurfaceMultiple,multipleSurfaceFill,"Brush (2,16777164,16777164)"
TopographicAreaGeneral SurfaceNatural,naturalSurfaceFill,"Brush (2,13434828,13434828)"
"TopographicAreaGeneral Surface,Historic InterestNatural",heritageFill,"Brush (2,13408614,13408614)"
"TopographicAreaGeneral Surface,Inland WaterManmade",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaGeneral Surface,Inland WaterNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaGeneral Surface,Natural EnvironmentNatural",naturalSurfaceFill,"Brush (2,13434828,13434828)"
"TopographicAreaGeneral Surface,PathManmade",pathFill,"Brush (2,13421772,13421772)"
"TopographicAreaGeneral Surface,RailManmade",railFill,"Brush (2,13421772,13421772)"
"TopographicAreaGeneral Surface,Road Or TrackManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaGeneral Surface,Road Or TrackNatural",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaGeneral Surface,StructureManmade",structureFill,"Brush (2,13408614,13408614)"
"TopographicAreaGeneral Surface,Tidal WaterManmade",tidalWaterFill,"Brush (2,10092543,10092543)"
TopographicAreaGlasshouseManmade,glasshouseFill,"Brush (2,16764057,16764057)"
"TopographicAreaHistoric Interest,Inland WaterNatural",heritageFill,"Brush (2,13408614,13408614)"
TopographicAreaInland WaterNatural,inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaInland Water,Natural EnvironmentNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaInland Water,PathNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaInland Water,Road Or TrackNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaInland Water,StructureNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
"TopographicAreaInland Water,StructureManmade",inlandWaterFill,"Brush (2,10092543,10092543)"
TopographicAreaLandformManmade,manmadeLandformPattern,"Brush (5,6723942) Pen (1,1,6723942)"
TopographicAreaLandformNatural,naturalLandformPattern,"Brush (6,6723942) Pen (1,1,6723942)"
TopographicAreaNatural EnvironmentNatural,multiVegetationPattern,"Brush (101,6723942,13434828)"
TopographicAreaPathManmade,pathFill,"Brush (2,13421772,13421772)"
"TopographicAreaPath,RailManmade",pathFill,"Brush (2,13421772,13421772)"
"TopographicAreaPath,StructureManmade",pathFill,"Brush (2,13421772,13421772)"
TopographicAreaRailUnknown,madeSurfaceFill,"Brush (2,13421721,13421721)"
TopographicAreaRailNatural,naturalSurfaceFill,"Brush (2,13434828,13434828)"
TopographicAreaRailManmade,railFill,"Brush (2,13421772,13421772)"
"TopographicAreaRail,Road Or TrackManmade",pathFill,"Brush (2,13421772,13421772)"
"TopographicAreaRail,Road Or Track,StructureManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaRail,StructureNatural",railFill,"Brush (2,13421772,13421772)"
"TopographicAreaRail,StructureManmade",railFill,"Brush (2,13421772,13421772)"
TopographicAreaRoad Or TrackManmade,roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaRoad Or Track,StructureManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaRoadsideManmade,madeSurfaceFill,"Brush (2,13421721,13421721)"
TopographicAreaRoadsideUnknown,madeSurfaceFill,"Brush (2,13421721,13421721)"
TopographicAreaRoadsideNatural,naturalSurfaceFill,"Brush (2,13434828,13434828)"
"TopographicAreaRoadside,StructureManmade",structureFill,"Brush (2,13408614,13408614)"
TopographicAreaStructure,structureFill,"Brush (2,13408614,13408614)"
TopographicAreaStructureManmade,structureFill,"Brush (2,13408614,13408614)"
TopographicAreaTidal WaterNatural,tidalWaterFill,"Brush (2,10092543,10092543)"
TopographicAreaUnclassifiedUnclassified,unclassifiedFill,"Brush (2,13421721,13421721)"
CartographicTextBuildings Or Structure,defaultCartographicText,"Brush (2,0,0)"
"CartographicTextBuildings Or Structure,Road Or Track",defaultCartographicText,"Brush (2,0,0)"
CartographicTextGeneral Feature,defaultCartographicText,"Brush (2,0,0)"
CartographicTextGeneral Surface,defaultCartographicText,"Brush (2,0,0)"
"CartographicTextGeneral Surface,Road Or Track",defaultCartographicText,"Brush (2,0,0)"
CartographicTextHistoric Interest,heritageText,"Brush (2,0,0)"
CartographicTextInland Water,waterText,"Pen (1,2,39423)"
CartographicTextLandform,defaultCartographicText,"Brush (2,0,0)"
"CartographicTextPath,Structure",defaultCartographicText,"Brush (2,0,0)"
CartographicTextPolitical Or Administrative,adminBoundaryText,"Brush (2,16711935,16711935)"
CartographicTextRail,defaultCartographicText,"Brush (2,0,0)"
"CartographicTextRail,Structure",defaultCartographicText,"Brush (2,0,0)"
CartographicTextRoadside,defaultCartographicText,"Brush (2,0,0)"
CartographicTextStructure,defaultCartographicText,"Brush (2,0,0)"
CartographicTextTerrain And Height,defaultCartographicText,"Brush (2,0,0)"
CartographicTextTidal Water,waterText,"Pen (1,2,39423)"
CartographicTextUnclassified,defaultCartographicText,"Brush (2,0,0)"
"TopographicAreaBuilding,StructureManmade",buildingFill,"Brush (2,16764057,16764057)"
"TopographicAreaGeneral Surface,StructureNatural",structureFill,"Brush (2,13408614,13408614)"
"TopographicAreaRoadside,StructureNatural",structureFill,"Brush (2,13408614,13408614)"
TopographicLineGeneral FeatureManmadeMinor Detail,defaultLine,"Pen (1,2,0)"
"TopographicPointInland Water,StructureManmade",waterPointSymbol,"Symbol (34,39423,10) Pen (1,2,39423)"
"CartographicTextHistoric Interest,Rail",heritageText,"Brush (2,0,0)"
"TopographicAreaInland Water,Natural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous Trees (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural Environment,StructureNonconiferous Trees,ScrubNatural",nonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,StructureNonconiferous TreesNatural",nonconiferousTreesPattern,"Brush (77,6723942,13434828)"
"TopographicAreaNatural Environment,StructureRough GrasslandNatural",roughGrassPattern,"Brush (85,6723942,13434828)"
"TopographicAreaNatural Environment,StructureScrubNatural",scrubPattern,"Brush (87,6723942,13434828)"
"TopographicAreaRoad Or Track,StructureTrackNatural",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentBoulders (Scattered),Nonconiferous Trees,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
TopographicLineInland WaterCulvert,waterLine,"Pen (1,2,39423)"
"TopographicAreaNatural EnvironmentConiferous Trees,Marsh Reeds Or Saltmarsh,Nonconiferous Trees,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rock,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentConiferous Trees,Nonconiferous Trees,Rock (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
